Vacancy Titles,URL,Company,Description
Machine Learning Developer (AWS),https://hh.ru/vacancy/35159018?query=python,ООО ClearScale,"We are hiring for a 2-year-long project related to a migration from a 3rd party cloud to... Hands-on experience with ElasticSearch. Hands-on experience with advanced Python data frameworks (Seaborn, PyTorch, Dask). Valid AWS certificates would..."
Разработчик Python,https://hh.ru/vacancy/34944174?query=python,ООО СОДИС ЛАБ,"Знакомство с системами подготовки документов Latex, ReportLab. Опыт написания автотестов на python, знание библиотек pytest, allure, requests, selenium, selene, pymssql. ...Python-разработчика не менее 2-x лет. Уверенное владение стеком технологий для разработки программного обеспечения на основе Python 3 (python..."
Разработчик Python,https://hh.ru/vacancy/34733084?query=python, BORK,"Общения"" с системами поставщиков. Консолидации полученных от поставщиков данных и публикации в нашей БД. Работы с системами заказов.  Отличные знания Python (версия 3, нет необходимости переноса легаси-кода). Умение строить REST API на Flask (или аналогично по функционалу). "
Разработчик Python,https://hh.ru/vacancy/35013498?query=python, ДомКлик,"...Python. Участие в проектировании архитектуры, выработке решений по отказоустойчивости и производительности. Разработка бэкэнда для мобильных и веб-приложений на Python.  Опыт работы в области создания программного обеспечения в качестве разработчика от 2 лет. Опыт работы хотя бы с одним из..."
Python/Go Developer,https://hh.ru/vacancy/34567979?query=python, ДомКлик,"Понимающее IT-руководство. Например, у нас есть квота 1 день в неделю на борьбу с тех. долгом/саморазвитие/рисеч/решение... Бизнес-руководство, нацеленное на результат. Пробовали: Tornado/Django/Pyramid. Работали с Docker, раскатывали ansible, слышали про kubernetes. Имеют опыт работы..."
"Python разработчик (Python, Django, Celery, PostgreSQL)",https://hh.ru/vacancy/34941546?query=python,ООО SailPlay,"Разработка продуктовых фич. Участие в проработке и оценке задач. Рефакторинг существующего кода. Работа над техническим долгом. Задачи по автоматизации внутренних... Python. Большим плюсом будет знание Celery или Django. Плюсом будет опыт работы с: PostgreSQL, Redis, ElasticSearch."
Python разработчик,https://hh.ru/vacancy/35113433?query=python,ООО Б152,"Участие в разработке системы оценки веб-сайтов и компаний на соответствие российским и международным стандартам по защите персональных данных. Требования: Опыт применения машинного обучения (нейронные сети, байесовских методов и др.) для решения прикладных задач. Хорошее знание Python, Django. "
Python разработчик,https://hh.ru/vacancy/34985441?query=python, RU-CERT,Разработка серверной части веб-приложений (REST API). Автоматизация процессов обработки данных. Основное направление деятельности - создание прикладного ПО в области информационной... Опыт работы в Linux/Unix. Знание git. Желательно: Опыт в разработке асинхронных python-приложений (asyncio). Опыт работы с веб-серверами...
Middle-разработчик full-stack (Python/Django),https://hh.ru/vacancy/34995259?query=python,ООО АлгоМост,"Разработка нового функционала в существующих сервисах. Рефакторинг кода. Разработка новых сервисов. Стек технологии: Python 3, Django, SQL, HTML, CSS, Linux, Git. Высшее образование. Оперативность, ответственность, аналитическое мышление, инициативность и умение самостоятельно..."
Data Analyst/Аналитик данных,https://hh.ru/vacancy/35083531?query=python,ООО Результат,"Анализ данных по имеющимся базам компании. Сегментация покупателей. Кластеризация покупок, кластеризация респондентов по факторам выбора. Пакетная аналитика данных. Составление гипотез. Высшее образование в тех. сфере. Преимуществом является знание python и/или sql. Быстрый анализ большого количества информации. Опыт работы в..."
Senior Python developer,https://hh.ru/vacancy/35014106?query=python,ООО Профцентр СПЕЦИАЛИСТ,"Разработка и тестирование логики по интеграции backend и сторонних систем. Интеграция Django с другими системами. Отличное знание и владение Python, Django, PostgreSQL. Опыт по созданию моделей в БД. Умение профилировать и оптимизировать код на Python..."
Intern/Junior Data Analyst,https://hh.ru/vacancy/34533419?query=python, ManyChat," Имеете высшее или неоконченное высшее образование – топовые вузы по технической специальности (МФТИ, МГУ, СПБГУ ИТМО, ...). Технарь, не боитесь документации и..."
Quantitative Researcher,https://hh.ru/vacancy/29014173?query=python,ООО КВАНТПОРТРУС,"Working with large and complex datasets to build quantitative models which predict future price movements. Applying modern mathematical and statistical... Strong knowledge of probability, statistics, optimization, numerical methods. Good programming skills in Python (numpy, sklearn, pandas, matplotlib, etc.). "
Python developer,https://hh.ru/vacancy/34933550?query=python, Адвентум,"Участвовать в разработке архитектуры системы мониторинга сбора и обработки данных. Разбираться в чужом коде и переносить его на фреймворк Airflow... Умеете работать в команде. Опыт в разработке на Python от года. Уверенное знание Python 3 (стандартная библиотека, type hints, юнит..."
Senior Python developer (Cloud Services),https://hh.ru/vacancy/35113698?query=python, IVIDEON,Возглавит небольшую продуктовую команду (2-3 разработчика). Вместе с нами будет разрабатывать бэкенд Ivideon. Проектировать архитектуру новых сервисов.  Опыт коммерческой разработки на Python от 3х лет. Понимание всей этой истории с микросервисной архитектурой. Опыт работы с асинхронкой...
Junior Тестировщик / Специалист техподдержки,https://hh.ru/vacancy/34866712?query=python, ЧУ ДО Школа программистов,"Взаимодействие с руководителем проекта и командой разработчиков. Осуществление внутренней поддержки и консультирование пользователей по вопросам работы с системой во время... Умение оформлять обнаруженные ошибки в работе приложения и запросы пользователей в трекер, используя понятные разработчикам формулировки. Грамотность письма и речи. "
Python / DevOps инженер,https://hh.ru/vacancy/35113399?query=python,ООО Б152,"Участие в разработке системы оценки веб-сайтов и компаний на соответствие российским и международным стандартам по защите персональных данных.  Опыт построения DevOps-инфраструктуры. Хорошее знание Python. Опыт работы с базами данных MySQL, PostgreSQL. Опыт интеграции с внешними сервисами. "
QA Backend Engineer,https://hh.ru/vacancy/34990220?query=python, FunCorp,"Тестирование бэкенда наших мобильных приложений. Поддержка и развитие тестовой инфраструктуры. Участие в написании и улучшении существующих автоматизированных тестов (отлично, если... Опыт работы с багтрекерами (у нас JIRA). Java (python или groovy или любой скриптовой язык). Опыт разработки/поддержки фреймворков для..."
Тестировщик ПО,https://hh.ru/vacancy/35015461?query=python,ООО Верме,Разработка и поддержка автоматизированных тестов для web-приложений. Участие в регрессионном тестировании. Анализ документации. Настройка и поддержка тестовых сред.  Желание развиваться в направлении автоматизации тестирования. Навыки программирования на языке Python. Опыт автоматизированного тестирования (Cucumber + Junit). Опыт работы с...
Machine Learning Developer (AWS),https://hh.ru/vacancy/35159018?query=python,ООО ClearScale,"We are hiring for a 2-year-long project related to a migration from a 3rd party cloud to... Hands-on experience with ElasticSearch. Hands-on experience with advanced Python data frameworks (Seaborn, PyTorch, Dask). Valid AWS certificates would..."
Разработчик Python,https://hh.ru/vacancy/34944174?query=python,ООО СОДИС ЛАБ,"Знакомство с системами подготовки документов Latex, ReportLab. Опыт написания автотестов на python, знание библиотек pytest, allure, requests, selenium, selene, pymssql. ...Python-разработчика не менее 2-x лет. Уверенное владение стеком технологий для разработки программного обеспечения на основе Python 3 (python..."
Разработчик Python,https://hh.ru/vacancy/34733084?query=python, BORK,"Общения"" с системами поставщиков. Консолидации полученных от поставщиков данных и публикации в нашей БД. Работы с системами заказов.  Отличные знания Python (версия 3, нет необходимости переноса легаси-кода). Умение строить REST API на Flask (или аналогично по функционалу). "
Разработчик Python,https://hh.ru/vacancy/35013498?query=python, ДомКлик,"...Python. Участие в проектировании архитектуры, выработке решений по отказоустойчивости и производительности. Разработка бэкэнда для мобильных и веб-приложений на Python.  Опыт работы в области создания программного обеспечения в качестве разработчика от 2 лет. Опыт работы хотя бы с одним из..."
Python/Go Developer,https://hh.ru/vacancy/34567979?query=python, ДомКлик,"Понимающее IT-руководство. Например, у нас есть квота 1 день в неделю на борьбу с тех. долгом/саморазвитие/рисеч/решение... Бизнес-руководство, нацеленное на результат. Пробовали: Tornado/Django/Pyramid. Работали с Docker, раскатывали ansible, слышали про kubernetes. Имеют опыт работы..."
"Python разработчик (Python, Django, Celery, PostgreSQL)",https://hh.ru/vacancy/34941546?query=python,ООО SailPlay,"Разработка продуктовых фич. Участие в проработке и оценке задач. Рефакторинг существующего кода. Работа над техническим долгом. Задачи по автоматизации внутренних... Python. Большим плюсом будет знание Celery или Django. Плюсом будет опыт работы с: PostgreSQL, Redis, ElasticSearch."
Python разработчик,https://hh.ru/vacancy/35113433?query=python,ООО Б152,"Участие в разработке системы оценки веб-сайтов и компаний на соответствие российским и международным стандартам по защите персональных данных. Требования: Опыт применения машинного обучения (нейронные сети, байесовских методов и др.) для решения прикладных задач. Хорошее знание Python, Django. "
Python разработчик,https://hh.ru/vacancy/34985441?query=python, RU-CERT,Разработка серверной части веб-приложений (REST API). Автоматизация процессов обработки данных. Основное направление деятельности - создание прикладного ПО в области информационной... Опыт работы в Linux/Unix. Знание git. Желательно: Опыт в разработке асинхронных python-приложений (asyncio). Опыт работы с веб-серверами...
Middle-разработчик full-stack (Python/Django),https://hh.ru/vacancy/34995259?query=python,ООО АлгоМост,"Разработка нового функционала в существующих сервисах. Рефакторинг кода. Разработка новых сервисов. Стек технологии: Python 3, Django, SQL, HTML, CSS, Linux, Git. Высшее образование. Оперативность, ответственность, аналитическое мышление, инициативность и умение самостоятельно..."
Data Analyst/Аналитик данных,https://hh.ru/vacancy/35083531?query=python,ООО Результат,"Анализ данных по имеющимся базам компании. Сегментация покупателей. Кластеризация покупок, кластеризация респондентов по факторам выбора. Пакетная аналитика данных. Составление гипотез. Высшее образование в тех. сфере. Преимуществом является знание python и/или sql. Быстрый анализ большого количества информации. Опыт работы в..."
Senior Python developer,https://hh.ru/vacancy/35014106?query=python,ООО Профцентр СПЕЦИАЛИСТ,"Разработка и тестирование логики по интеграции backend и сторонних систем. Интеграция Django с другими системами. Отличное знание и владение Python, Django, PostgreSQL. Опыт по созданию моделей в БД. Умение профилировать и оптимизировать код на Python..."
Intern/Junior Data Analyst,https://hh.ru/vacancy/34533419?query=python, ManyChat," Имеете высшее или неоконченное высшее образование – топовые вузы по технической специальности (МФТИ, МГУ, СПБГУ ИТМО, ...). Технарь, не боитесь документации и..."
Quantitative Researcher,https://hh.ru/vacancy/29014173?query=python,ООО КВАНТПОРТРУС,"Working with large and complex datasets to build quantitative models which predict future price movements. Applying modern mathematical and statistical... Strong knowledge of probability, statistics, optimization, numerical methods. Good programming skills in Python (numpy, sklearn, pandas, matplotlib, etc.). "
Python developer,https://hh.ru/vacancy/34933550?query=python, Адвентум,"Участвовать в разработке архитектуры системы мониторинга сбора и обработки данных. Разбираться в чужом коде и переносить его на фреймворк Airflow... Умеете работать в команде. Опыт в разработке на Python от года. Уверенное знание Python 3 (стандартная библиотека, type hints, юнит..."
Senior Python developer (Cloud Services),https://hh.ru/vacancy/35113698?query=python, IVIDEON,Возглавит небольшую продуктовую команду (2-3 разработчика). Вместе с нами будет разрабатывать бэкенд Ivideon. Проектировать архитектуру новых сервисов.  Опыт коммерческой разработки на Python от 3х лет. Понимание всей этой истории с микросервисной архитектурой. Опыт работы с асинхронкой...
Junior Тестировщик / Специалист техподдержки,https://hh.ru/vacancy/34866712?query=python, ЧУ ДО Школа программистов,"Взаимодействие с руководителем проекта и командой разработчиков. Осуществление внутренней поддержки и консультирование пользователей по вопросам работы с системой во время... Умение оформлять обнаруженные ошибки в работе приложения и запросы пользователей в трекер, используя понятные разработчикам формулировки. Грамотность письма и речи. "
Python / DevOps инженер,https://hh.ru/vacancy/35113399?query=python,ООО Б152,"Участие в разработке системы оценки веб-сайтов и компаний на соответствие российским и международным стандартам по защите персональных данных.  Опыт построения DevOps-инфраструктуры. Хорошее знание Python. Опыт работы с базами данных MySQL, PostgreSQL. Опыт интеграции с внешними сервисами. "
QA Backend Engineer,https://hh.ru/vacancy/34990220?query=python, FunCorp,"Тестирование бэкенда наших мобильных приложений. Поддержка и развитие тестовой инфраструктуры. Участие в написании и улучшении существующих автоматизированных тестов (отлично, если... Опыт работы с багтрекерами (у нас JIRA). Java (python или groovy или любой скриптовой язык). Опыт разработки/поддержки фреймворков для..."
Тестировщик ПО,https://hh.ru/vacancy/35015461?query=python,ООО Верме,Разработка и поддержка автоматизированных тестов для web-приложений. Участие в регрессионном тестировании. Анализ документации. Настройка и поддержка тестовых сред.  Желание развиваться в направлении автоматизации тестирования. Навыки программирования на языке Python. Опыт автоматизированного тестирования (Cucumber + Junit). Опыт работы с...
Machine Learning Developer (AWS),https://hh.ru/vacancy/35159018?query=python,ООО ClearScale,"We are hiring for a 2-year-long project related to a migration from a 3rd party cloud to... Hands-on experience with ElasticSearch. Hands-on experience with advanced Python data frameworks (Seaborn, PyTorch, Dask). Valid AWS certificates would..."
Разработчик Python,https://hh.ru/vacancy/34944174?query=python,ООО СОДИС ЛАБ,"Знакомство с системами подготовки документов Latex, ReportLab. Опыт написания автотестов на python, знание библиотек pytest, allure, requests, selenium, selene, pymssql. ...Python-разработчика не менее 2-x лет. Уверенное владение стеком технологий для разработки программного обеспечения на основе Python 3 (python..."
Разработчик Python,https://hh.ru/vacancy/34733084?query=python, BORK,"Общения"" с системами поставщиков. Консолидации полученных от поставщиков данных и публикации в нашей БД. Работы с системами заказов.  Отличные знания Python (версия 3, нет необходимости переноса легаси-кода). Умение строить REST API на Flask (или аналогично по функционалу). "
Разработчик Python,https://hh.ru/vacancy/35013498?query=python, ДомКлик,"...Python. Участие в проектировании архитектуры, выработке решений по отказоустойчивости и производительности. Разработка бэкэнда для мобильных и веб-приложений на Python.  Опыт работы в области создания программного обеспечения в качестве разработчика от 2 лет. Опыт работы хотя бы с одним из..."
Python/Go Developer,https://hh.ru/vacancy/34567979?query=python, ДомКлик,"Понимающее IT-руководство. Например, у нас есть квота 1 день в неделю на борьбу с тех. долгом/саморазвитие/рисеч/решение... Бизнес-руководство, нацеленное на результат. Пробовали: Tornado/Django/Pyramid. Работали с Docker, раскатывали ansible, слышали про kubernetes. Имеют опыт работы..."
"Python разработчик (Python, Django, Celery, PostgreSQL)",https://hh.ru/vacancy/34941546?query=python,ООО SailPlay,"Разработка продуктовых фич. Участие в проработке и оценке задач. Рефакторинг существующего кода. Работа над техническим долгом. Задачи по автоматизации внутренних... Python. Большим плюсом будет знание Celery или Django. Плюсом будет опыт работы с: PostgreSQL, Redis, ElasticSearch."
Python разработчик,https://hh.ru/vacancy/35113433?query=python,ООО Б152,"Участие в разработке системы оценки веб-сайтов и компаний на соответствие российским и международным стандартам по защите персональных данных. Требования: Опыт применения машинного обучения (нейронные сети, байесовских методов и др.) для решения прикладных задач. Хорошее знание Python, Django. "
Python разработчик,https://hh.ru/vacancy/34985441?query=python, RU-CERT,Разработка серверной части веб-приложений (REST API). Автоматизация процессов обработки данных. Основное направление деятельности - создание прикладного ПО в области информационной... Опыт работы в Linux/Unix. Знание git. Желательно: Опыт в разработке асинхронных python-приложений (asyncio). Опыт работы с веб-серверами...
Middle-разработчик full-stack (Python/Django),https://hh.ru/vacancy/34995259?query=python,ООО АлгоМост,"Разработка нового функционала в существующих сервисах. Рефакторинг кода. Разработка новых сервисов. Стек технологии: Python 3, Django, SQL, HTML, CSS, Linux, Git. Высшее образование. Оперативность, ответственность, аналитическое мышление, инициативность и умение самостоятельно..."
Data Analyst/Аналитик данных,https://hh.ru/vacancy/35083531?query=python,ООО Результат,"Анализ данных по имеющимся базам компании. Сегментация покупателей. Кластеризация покупок, кластеризация респондентов по факторам выбора. Пакетная аналитика данных. Составление гипотез. Высшее образование в тех. сфере. Преимуществом является знание python и/или sql. Быстрый анализ большого количества информации. Опыт работы в..."
Senior Python developer,https://hh.ru/vacancy/35014106?query=python,ООО Профцентр СПЕЦИАЛИСТ,"Разработка и тестирование логики по интеграции backend и сторонних систем. Интеграция Django с другими системами. Отличное знание и владение Python, Django, PostgreSQL. Опыт по созданию моделей в БД. Умение профилировать и оптимизировать код на Python..."
Intern/Junior Data Analyst,https://hh.ru/vacancy/34533419?query=python, ManyChat," Имеете высшее или неоконченное высшее образование – топовые вузы по технической специальности (МФТИ, МГУ, СПБГУ ИТМО, ...). Технарь, не боитесь документации и..."
Quantitative Researcher,https://hh.ru/vacancy/29014173?query=python,ООО КВАНТПОРТРУС,"Working with large and complex datasets to build quantitative models which predict future price movements. Applying modern mathematical and statistical... Strong knowledge of probability, statistics, optimization, numerical methods. Good programming skills in Python (numpy, sklearn, pandas, matplotlib, etc.). "
Python developer,https://hh.ru/vacancy/34933550?query=python, Адвентум,"Участвовать в разработке архитектуры системы мониторинга сбора и обработки данных. Разбираться в чужом коде и переносить его на фреймворк Airflow... Умеете работать в команде. Опыт в разработке на Python от года. Уверенное знание Python 3 (стандартная библиотека, type hints, юнит..."
Senior Python developer (Cloud Services),https://hh.ru/vacancy/35113698?query=python, IVIDEON,Возглавит небольшую продуктовую команду (2-3 разработчика). Вместе с нами будет разрабатывать бэкенд Ivideon. Проектировать архитектуру новых сервисов.  Опыт коммерческой разработки на Python от 3х лет. Понимание всей этой истории с микросервисной архитектурой. Опыт работы с асинхронкой...
Junior Тестировщик / Специалист техподдержки,https://hh.ru/vacancy/34866712?query=python, ЧУ ДО Школа программистов,"Взаимодействие с руководителем проекта и командой разработчиков. Осуществление внутренней поддержки и консультирование пользователей по вопросам работы с системой во время... Умение оформлять обнаруженные ошибки в работе приложения и запросы пользователей в трекер, используя понятные разработчикам формулировки. Грамотность письма и речи. "
